Country,Year,Country_Code,Continent,Region,Population,GDP_Per_Capita,Per_Capita_Sugar_Consumption,Total_Sugar_Consumption,Sugar_From_Sugarcane,Sugar_From_Beet,Sugar_From_HFCS,Sugar_From_Other,Processed_Food_Consumption,Avg_Daily_Sugar_Intake,Diabetes_Prevalence,Obesity_Rate,Sugar_Imports,Sugar_Exports,Avg_Retail_Price_Per_Kg,Gov_Tax,Gov_Subsidies,Education_Campaign,Urbanization_Rate,Climate_Conditions,Sugarcane_Production_Yield
France,2021,FRA,Europe,Western Europe,152217471.17497674,33560.17720327332,17.15601149779414,2611444.685643049,64.03042273524692,25.078058275490672,26.62782453257016,-15.73630554330775,272.2982891743299,47.00747150395595,8.572880961893574,33.6465652514852,3336239.07536433,8761326.507548824,0.9714600009228719,0.0,0,,60.98717379012552,2,42.285103700358704
Mexico,2023,MEX,North America,Central America,117925527.8332949,17615.366669036026,36.94600773425759,4356877.463395322,79.41072810120782,28.963277044249594,10.403719953192343,-18.777725098649768,101.37107932495128,101.23206119186581,6.250118994861181,37.36175821121228,3674722.6669689836,3997228.459721467,2.28411794956234,1.0,0,,12.435181885922049,5,70.0806907621201
Brazil,2018,BRA,South America,South America,192144750.4934876,25339.407499576417,15.033781805087258,2888662.253912025,53.42936633001434,26.80074709496508,52.9987523027968,-33.228865727776224,19.94325295475346,41.19256214593909,8.373519464800479,7.41312141611725,9982686.664668292,7504825.304783222,3.1423667770720742,0.0,0,0.0,62.72849178185872,1,66.01619505407703
USA,1994,USA,North America,Northern America,154805946.80043793,11243.211249420843,50.87864000108669,7876316.037286859,57.96936133659496,33.36471903088639,17.546218264436398,-8.880298631917753,15.05405620562598,139.40747360297755,13.42314563248131,34.420327283352975,5816510.811419255,6423367.157019589,1.8754891022489493,1.0,0,0.0,36.993019052269105,3,53.87185312232522
India,2020,IND,Asia,South Asia,55843133.85854942,8431.992868722973,59.09547527980502,3300076.5364847505,85.10893288531747,36.30960276965193,45.514823909291536,-66.93335956426094,281.3084188581101,161.9216022666658,11.905419190416346,20.482208883244873,5187507.508692044,9167882.996483872,3.12349426600302,0.0,1,1.0,57.10916509009695,5,88.43673905345122
Russia,1999,RUS,Europe,Eastern Europe,243203448.70141783,12556.482285272077,30.315415986763057,7372813.716798871,61.74621627857033,20.71857284875655,4.576183060039396,12.959027812633721,118.03099680026583,83.06423980373079,4.477834444466701,11.236121908401692,4229947.29351608,8666661.066812187,4.602419525638914,0.0,0,1.0,17.384574628342904,2,71.833615715134
Brazil,1963,BRA,South America,South America,142186364.30382657,4027.4672307764085,30.788808692357023,4377748.769212297,58.23765577870509,18.72598333316801,1.805312783071058,21.231048105055834,190.1409798690794,84.36133581705825,11.697316150679484,18.51965186950839,7771864.318876114,2466251.8914871565,2.308823321788847,1.0,0,1.0,46.74990512064697,3,99.23916255362863
China,1986,CHN,Asia,East Asia,46816223.85388885,14265.469710491929,18.2495857483856,854376.6916371598,53.56010352540582,13.476661208120976,59.729138977815026,-26.76590371134182,130.03697359974933,50.00386495057654,13.249748432559706,35.30487448200561,7226770.98158401,3430919.975576594,4.737125157142068,0.0,1,1.0,62.1374649969685,1,76.90845639775233
Brazil,1975,BRA,South America,South America,50897073.03567,34672.37063810294,24.92475272756595,1268596.9599709392,65.71819977585531,33.48436576550064,7.381096634124589,-6.583662175480541,71.8905628683849,68.29382247353071,4.531783023177864,9.274468617720704,6442543.1648787875,2744920.5627232697,4.370825532381435,0.0,0,0.0,19.679228591214226,2,64.15011798908162
USA,1977,USA,North America,Northern America,239293554.7332078,32748.355794599604,26.053048837442674,6234326.667949525,52.67928300037147,38.84548153622869,45.951539296511235,-37.47630383311139,264.53013121517256,71.38535381459293,3.4003991949663384,8.450078725787455,1747995.800358957,5178544.853080787,0.5979425855610399,0.0,1,0.0,36.58382094155486,2,95.94050850852118
Germany,1966,DEU,Europe,Western Europe,211194962.08270702,27947.56217682064,15.11232799012993,3191647.536856923,69.87921839819802,11.836257170020627,36.271006891573684,-17.98648245979234,285.40136160946196,41.407778692956015,3.0844576472874667,38.80078908179846,1187957.8106975518,673641.0240459745,3.510692452694685,0.0,0,0.0,12.26436692262574,3,99.1677696453655
Germany,1970,DEU,Europe,Western Europe,152451857.80938855,519.1769420370044,25.14689495424637,3833690.8539123978,86.76818947866505,21.024483361125863,27.177171660076358,-34.969844499867264,296.4748428539045,68.90249217463506,2.868169770385047,15.273468124509353,4912691.850662173,3610894.2279547076,2.0304292271989164,0.0,1,1.0,16.46747210457411,5,49.41043629623597
USA,1967,USA,North America,Northern America,92518371.4159474,6726.208990298553,63.97169857655455,5918557.369014706,81.48537380780412,31.961812665288587,2.215241259701539,-15.662427732794256,21.997657041382876,175.2824540997595,3.704188669578055,35.14592354319311,7992345.770945385,9245394.369979871,1.645210615393093,0.0,0,0.0,26.05142812338854,1,73.14837459530568
Indonesia,2018,IDN,Asia,Southeast Asia,138696089.00232574,42222.03671810887,26.150079111236483,3626913.6998299146,51.62695078656061,27.26150348252393,19.717721908496017,1.393823822419435,24.60688383888619,71.65121676478797,13.065496023697184,24.65280867700785,698666.1320612286,7658653.468735038,3.817329179693621,0.0,1,0.0,83.58202227204836,5,65.51424897168404
France,2023,FRA,Europe,Western Europe,191308577.604275,13951.04930334634,22.83841704252868,4369185.079139395,61.99032656419724,33.526080762735155,54.00543687853957,-49.52184420547195,258.8102000304507,62.577262696528585,12.129264965916509,13.414415739444253,8975783.282137202,3312365.9856592435,3.781019757435316,0.0,0,0.0,86.27944775843238,1,69.54722651704488
Germany,2011,DEU,Europe,Western Europe,263905412.91142482,45653.84498466659,30.001748388693994,7917623.796582962,57.505771318719454,5.56508726892331,54.309153739595665,-17.380012327238433,61.08564031340495,82.20479058502156,14.930378978105495,15.325148615988015,8497239.39034471,4413015.04045089,3.594680768420488,0.0,0,0.0,29.15069685478877,3,48.78134792358638
Russia,2023,RUS,Europe,Eastern Europe,167204492.43593988,43790.03268152666,67.41774746987218,11272550.246874347,52.677594206144356,36.89716096714185,35.981914811557154,-25.556669984843353,172.88015868067544,184.7246280674498,8.17637890117141,19.418549471893158,2059684.992339993,7108794.215674877,0.6725856989421732,,1,0.0,66.43617523367365,2,76.0840790864649
India,1965,IND,Asia,South Asia,83743853.13735129,8168.888189641683,54.697643572532975,4580591.430297389,54.34562191918632,7.147311815888132,34.48049313143445,4.026573133491098,178.1541063176961,149.87154338874035,12.473612847319336,10.233596271516511,4116017.9523875373,9324586.671429295,3.1678026798863432,0.0,0,1.0,68.55090491317553,2,83.98165394681007
Mexico,2015,MEX,North America,Central America,13779234.493350102,44958.526091529624,18.11299064060409,249583.1454127394,86.32577490251596,20.59173521710934,25.535897655400838,-32.453407775026136,201.9647189257746,49.62959435525521,7.75790630089321,29.84848901355496,618068.4105318745,7718241.677694009,3.1790911709884386,,0,0.0,60.262095773381,3,48.63701783493346
Germany,2007,DEU,Europe,Western Europe,53461061.71910544,31577.824112844795,53.915853681700476,2882398.7813156475,62.40332860255189,14.651753940898262,46.53389821945981,-23.588980762909955,20.898197326897847,147.7294390878593,10.52403619442117,19.61794196567981,461791.0437886874,9798578.955655444,4.850958960460522,0.0,1,0.0,57.810734745360655,2,37.06863214010354
India,1964,IND,Asia,South Asia,195403108.57807636,31699.19686406899,54.80526474004802,10709119.096649822,65.68895504914383,37.486780623901815,52.97668444258374,-56.15242011562938,99.50039282515536,150.16642538773158,8.96672877086997,36.12293874100159,4163549.46165269,9924400.071363613,4.0096923402256985,0.0,1,1.0,49.21690641920857,5,54.47286929819784
France,2016,FRA,Europe,Western Europe,48970653.08042314,42707.65334589298,66.75890985421852,3269227.4144981764,69.42803473286786,14.630009674706358,43.65045460648427,-27.708499014058475,159.10625319248598,182.91941300055873,8.933741706366405,37.04783797134611,3268252.429959182,1920305.6156782017,2.1239016885232003,0.0,1,,25.87839269225526,2,57.6653398923931
Russia,1965,RUS,Europe,Eastern Europe,144980326.3898918,20550.260345100745,62.921182076024984,9122333.514219912,79.79716392590858,18.06679247541159,31.517156626083356,-29.38111302740353,60.574070721495204,172.40403888830846,6.637753345719562,36.977595395768944,8058391.320371121,258458.84536719098,3.367259950677234,0.0,0,0.0,21.088468751853007,4,70.48818461035799
Russia,1997,RUS,Europe,Eastern Europe,209987549.62743923,36895.533172779076,11.18767390351685,2349272.2290303516,81.93481896342327,36.091902101357505,38.075615294420814,-56.10233635920159,283.76927233718754,30.654226495636173,9.81057534509814,27.72584515081173,2726235.048877077,8377814.759310074,4.505229710096234,1.0,0,0.0,39.528727537631376,3,69.12181366561947
Australia,2019,AUS,Oceania,Australia & New Zealand,93159245.51953012,33554.33563950389,34.54747518890239,3218416.7232028325,88.54918171487726,23.80921491182376,13.184440926303935,-25.542837553004958,250.356970727126,94.66008201759256,6.191726161807939,21.66303988856034,7810837.666084793,8925543.563592486,4.162882692330774,0.0,1,0.0,28.6236173510989,5,49.30378307286402
Australia,2020,AUS,Oceania,Australia & New Zealand,201062661.05237857,38689.97606203636,50.69458257565209,10192787.673600152,58.42712282456473,36.43705971616073,59.47371330128356,-54.33789584200903,50.43330413062121,138.90315625728675,4.988376977089758,7.9531986829810615,3052716.046815599,4534906.609314346,2.453780436528721,0.0,1,1.0,74.231603294113,2,66.83621313252917
Indonesia,1961,IDN,Asia,Southeast Asia,174740546.43269777,33179.35298740657,68.26897205654356,11929357.481558997,62.04264713901894,28.133918665821028,56.15209757001343,-46.32866337485339,204.5523421480029,187.05698343492938,13.316237877296825,31.443197927509647,5529376.214484161,646462.4982290613,4.664615983821896,0.0,0,0.0,57.88139590068348,1,55.77960887502272
Brazil,1990,BRA,South America,South America,132242792.97159024,4462.712632507222,10.535056680037993,1393185.3194822331,62.518428608595094,7.771706092102455,57.39810795270918,-27.688242653406732,128.95369362205372,28.866055303304105,10.637752008058376,8.117162804641739,8542364.416271344,1700978.3283261005,4.881664146573703,1.0,0,,66.93184312068948,3,55.611466591135354
Australia,1998,AUS,Oceania,Australia & New Zealand,269276398.18639404,14989.194614363774,28.9351286799442,7791547.2319952035,67.81035173238666,20.217533747565966,10.010789816846001,1.9613247032013703,100.33351171473633,79.28225258304711,6.476321314615878,11.386470389929872,1637971.4865305473,1159851.7603813186,3.959933879554351,0.0,0,0.0,49.72790934363488,5,85.78671903764022
Mexico,1991,MEX,North America,Central America,207925608.23780566,47026.083214624705,36.994547174464145,7692113.722732652,82.29617405695,11.173597063631327,39.166899551314394,-32.63667067189573,94.37953774714974,101.36505925803176,11.046344320946213,34.49681563833681,3493547.5998065057,1776397.2845502195,1.2907455510391472,0.0,0,,19.101138260006778,2,54.691845590420925
Russia,1968,RUS,Europe,Eastern Europe,108818512.91261998,11559.546838478134,31.860872579310374,3467052.7741790256,59.57824342124328,7.27966502145912,39.38060285617238,-6.2385112988747835,202.17367696128554,87.29879086731043,3.07693043173529,34.880201470071015,7249578.839825429,815835.4809777834,3.8629004668790494,,0,1.0,70.96421434207997,2,82.37670632335592
Australia,1974,AUS,Oceania,Australia & New Zealand,241475095.52413693,23876.889849629195,34.62559879684616,8361219.777048868,81.31687066251928,18.083662588652857,21.30577956770199,-20.706312818874125,272.0315464633341,94.87414070335849,15.64505000395849,20.214634526957738,2096054.3988048753,1168621.3989625515,2.3114067848906186,0.0,0,1.0,58.77899368145321,5,87.92842432509275
South Africa,1980,ZAF,Africa,Sub-Saharan Africa,221692562.03673184,18167.934799859602,28.99163908211791,6427230.745758964,58.161600735140574,36.79501809898984,51.91080898335207,-46.86742781748248,252.52178931722466,79.43709108500308,4.923915833746345,30.198932517856054,698026.2627632472,7066472.648893051,1.5992634171022888,1.0,0,0.0,58.92038222607607,4,95.51651990523591
China,2005,CHN,Asia,East Asia,237713505.68694115,4771.786804709364,68.09046991823384,16186024.308134574,78.40590468789328,9.11844771190663,46.94048304875107,-34.464835448550986,111.20007285241445,186.56788757596073,15.806941739813205,12.704438801290465,9790175.99777857,334553.8999075959,1.0173378478632995,0.0,0,,32.458896965753496,5,98.33292547976428
USA,2012,USA,North America,Northern America,192645838.92925733,9468.840104895686,57.21091063248384,11021443.874701617,81.96005279398712,5.237023497931438,43.17696850275213,-30.37404479467068,215.2451301540106,156.75789513300572,4.203643801334884,36.383928625851155,3461998.919509097,8639646.974266559,0.9587919404457081,0.0,0,0.0,55.877884689615634,5,70.20516218235925
Indonesia,1987,IDN,Asia,Southeast Asia,114431814.13601008,14690.022502269592,52.882894264618905,6051485.527463145,84.15134963257849,37.72811924104577,1.733398095262304,-23.612866968886564,162.9419503849989,144.8991302850558,12.422981953612352,27.890248369480453,8786052.633307183,8334507.480873794,2.3154451943751044,0.0,0,1.0,82.27362725214945,4,66.48966459739646
USA,2004,USA,North America,Northern America,105224976.16567646,23434.265041439794,31.69558827691926,3335167.5209959233,70.41142165762369,23.553692182559637,59.43376244077307,-53.398876280956415,137.70659522030843,86.84591187875878,5.616618363584014,35.01959867162306,2205655.2591006863,6187897.498574798,3.028181718081464,0.0,1,0.0,40.59737413134862,5,96.68993609324755
Australia,1986,AUS,Oceania,Australia & New Zealand,196591256.86702004,43788.937289236135,62.299032755265046,12247445.150957206,63.14859946555493,24.550310148952114,43.10232239791005,-30.801232012417103,96.05059180833153,170.69934974942623,15.98127790219163,18.716903655582335,5300067.326713619,9172089.736040335,3.548875464062484,0.0,0,0.0,56.65880207683956,1,48.55624208083353
South Africa,1964,ZAF,Africa,Sub-Saharan Africa,40139102.38210344,26023.005967705936,11.067053668288121,444221.6002596503,80.89536933339036,37.49585534229692,58.16659040579898,-76.55781508148627,33.55555164166851,30.323727051109454,6.352102633423184,6.400179465632485,8679699.972273095,893053.5014521357,4.398803535908374,0.0,0,0.0,20.070407675535176,2,53.995886789427956
China,1976,CHN,Asia,East Asia,246154390.79907414,32769.29555875213,14.322204206736522,3525473.4514091657,62.83665828641365,29.506256737451597,5.206789064295703,2.4502959118390493,65.80414862656176,39.24283952645808,2.843930055715496,39.760428994566084,619903.8646389432,2557584.2014056416,1.1519767384492112,0.0,1,0.0,40.269088052693704,5,47.503677451486936
Russia,1996,RUS,Europe,Eastern Europe,111730279.81542385,21584.78000899855,67.01376046327073,7487466.208045025,55.92355104725601,33.93844929090589,41.66096680025228,-31.522967138414174,174.2577944749571,183.61770366936182,3.9771286019139445,31.67525123544741,7538475.147842708,4802610.67915504,1.9125196796459238,1.0,1,0.0,85.67525208926813,4,83.50978927371412
South Africa,2017,ZAF,Africa,Sub-Saharan Africa,189481224.82029915,43568.08642161474,41.85423972246594,7930592.606535264,83.38745794782504,31.967271669883207,44.688618094966394,-60.04334771267463,221.31030219235734,114.68061683955669,14.084858348779292,10.825252167916979,1326444.1270580706,1366609.2563036203,0.647163828506126,0.0,1,1.0,31.609102191584046,1,43.684064016238004
Brazil,1983,BRA,South America,South America,150220110.565092,33299.76197745964,15.364755418500659,2308095.2577727656,66.44963719028125,26.415010177171606,3.8803079911451532,3.2550446414019802,20.66310051603435,42.099429846691805,3.2591375431380665,27.403276132005956,2281381.6929572937,6265531.202238372,3.4913581475721416,0.0,1,0.0,74.5088841267965,1,84.62820196021373
Mexico,1990,MEX,North America,Central America,156278621.1153715,4986.197530399618,66.69447100379843,10422919.964492746,72.8333506536651,29.093954210902062,3.8688633668496064,-5.796168231416772,119.95812626083006,182.7428505504077,14.297743115413546,38.09664396326272,3553069.62805892,8333024.087582076,0.6024672123641107,0.0,1,1.0,82.67357243768002,1,92.16963420338709
Russia,1994,RUS,Europe,Eastern Europe,221663837.7142028,24136.309759663647,68.36481285966829,15154006.783087356,86.7377618560794,24.62460481278666,45.73596594372739,-57.09833261259345,58.083031500028646,187.31958723549113,5.523791841781017,36.43900883806828,2957901.2482921253,8492200.795221418,0.7079960220927561,0.0,0,0.0,89.41080063049299,4,68.29167200348734
Australia,2000,AUS,Oceania,Australia & New Zealand,188374346.04775408,41448.09312325751,62.29704943268864,11735165.947587332,55.43186484936909,17.438905636670345,47.860774288874566,-20.731544774914,184.6150901964651,170.6939154455669,7.023805112215863,37.89904546009878,3734564.4378208187,3010835.6013317383,3.1916321265651866,1.0,1,1.0,44.130729012511665,3,51.94539647267287
USA,2000,USA,North America,Northern America,75842387.51536833,36815.93995694332,20.506260573805243,1555243.7609296567,72.28735585782331,14.987340490362905,54.61069266346174,-41.88538901164796,260.75031847336254,56.18715397222637,15.227678079580613,8.847813712461072,6953111.638263974,1500028.8740201162,1.371456136872202,,0,1.0,28.48285347256261,4,82.542476024015
Brazil,2013,BRA,South America,South America,23193553.4956976,45312.90181510512,23.10210908467078,535820.0029187532,72.35058366592384,11.158055922041367,46.32243465581348,-29.831074243778687,279.61218514150204,63.29977889199794,11.955767971556613,34.895821388156335,2438061.2793325908,7781709.749931017,3.4603532310614127,0.0,1,0.0,52.16061310417991,4,45.75938920793581
USA,1963,USA,North America,Northern America,252229986.14222202,11769.55802898968,31.453235415871738,7933449.133073376,84.47565223193025,17.390069364654153,14.422282209493531,-16.28800380607794,266.71354616169754,86.18186503948857,4.621077487882338,36.196070242641696,6131806.531557466,3545201.69696529,2.1031375984290173,0.0,0,1.0,55.08114052403368,1,65.38193389965002
India,2022,IND,Asia,South Asia,265583328.35080543,48870.02212774653,42.65591218077061,11328699.130808724,63.65035889294626,25.19137001552346,58.122125796497436,-46.96385470496716,262.98455213327514,116.87719937531149,6.496640227336478,11.327786209835919,5949530.700391986,6538374.637171764,1.6669246968594906,,1,0.0,75.96417522707337,3,89.85729154498412
France,1979,FRA,Europe,Western Europe,50184463.34227829,14611.34455955835,69.4917916220183,3487408.2692444185,66.04856358615723,25.563805929243497,16.03431312318491,-7.646682638585645,184.27047979789265,190.40750904433014,9.783231201968139,29.763356339028224,2423329.1625916963,791002.623542536,3.9223477225953243,0.0,1,0.0,21.09691530787569,2,41.04822205454006
Australia,2002,AUS,Oceania,Australia & New Zealand,93533643.0089402,2983.9039407918185,67.14868054413108,6280660.714536125,70.7717264737905,28.91967681573947,43.63288551737948,-43.324288806909465,80.46172273840268,183.98738469091919,15.050256556284136,29.245465317428536,797045.9307478662,4891529.750436812,3.8359180879632135,0.0,1,1.0,43.9127001505054,2,41.366692142819545
Indonesia,1976,IDN,Asia,Southeast Asia,85420372.19758797,25035.79504622614,64.87403881535313,5541564.541568233,56.68799928979102,35.77988332002954,31.76251050759565,-24.230393117416213,226.61708523679246,177.7548663540676,12.735476710175853,29.10320122182228,2509292.6280605267,2987736.89592528,0.7731867840597835,1.0,0,0.0,87.20049249502195,1,46.10113769966259
France,2005,FRA,Europe,Western Europe,281297119.66130626,5961.767554584513,10.802959422880479,3038841.369474246,68.82645577730705,27.814685846119925,7.33849130729769,-3.9796329307246623,220.10718288968414,29.600108818692515,11.284337086664602,25.042740868449133,6498863.177912228,6780283.185840793,3.760026428416023,1.0,0,0.0,88.52692352637631,2,67.93054413266414
USA,1969,USA,North America,Northern America,62228437.19727583,34224.89157997879,54.21581243956621,3373765.2794948313,67.44327176921068,10.981019853135122,55.627742073632284,-34.05203369597808,58.32934148616276,148.55132608441141,7.926811087464483,13.33271022983362,2545272.221065673,6112736.339446046,4.756679862216354,0.0,0,0.0,57.48281056744189,2,90.54155079624584
Germany,1996,DEU,Europe,Western Europe,50795230.39784977,45077.53540208166,61.994980987079934,3149049.342749041,57.895779000665115,5.899421209613589,35.27557421960219,0.929225570119101,66.50037155495659,169.86624790459902,11.931026636165551,8.764264558682703,2128917.661132014,4535197.317088726,2.6311106268345017,0.0,0,1.0,54.35771527526373,3,83.8477543324826
France,1980,FRA,Europe,Western Europe,55369726.374711506,46106.49195501671,26.663169420026318,1476332.3950694324,83.32090075190766,11.89054867188159,5.508964541746972,-0.720413965536224,41.70776049176057,73.05708421087212,4.860734638075343,13.601720772258595,9368819.826338839,9327043.513358505,2.8946240116231086,0.0,0,0.0,20.799621683112033,3,32.207702230140484
France,1980,FRA,Europe,Western Europe,219230883.6520363,30548.343512979834,19.27231222305249,4225086.038677738,67.24135046883347,36.78358410129111,23.001352974379536,-27.02628754450413,154.61880661133807,52.80613549116383,9.843553450939964,37.0029433441094,9585741.773298763,5453046.316756273,2.022990456409395,0.0,0,0.0,86.44443759119642,3,45.54177251591745
China,2019,CHN,Asia,East Asia,266517933.42969608,26995.61110731188,53.64869710264671,14298339.882993124,62.242636420739224,24.867912220110888,45.8998117516189,-33.01036039246901,103.2531847607694,146.997430061252,10.516613921950992,12.899592887010487,3994494.893648456,139660.71266749315,3.9376457744962274,0.0,0,1.0,24.757143225248697,1,68.75442795809116
Germany,2008,DEU,Europe,Western Europe,118616855.77934715,49702.57544866118,10.904454165447943,1293452.0670954399,55.2149694640877,34.701241841401476,37.10520834014021,-27.021419645629393,271.0353895408646,29.878204413327367,11.192350714581332,20.111959460431464,7772259.117992431,5245459.310266326,3.9408897081550323,0.0,0,0.0,13.007627865921991,2,36.5858576845953
USA,1975,USA,North America,Northern America,41687891.40554067,29181.57308980157,66.15578313960877,2757895.1033725087,53.58991177481132,13.200795411720456,13.40971703407064,19.799575779397586,20.62871080984538,181.26684580252805,6.67653085983308,20.431758623956334,717511.8404645364,612769.6583084707,4.512414571687413,1.0,0,0.0,51.328438544523266,3,54.23868210139162
Japan,1992,JPN,Asia,East Asia,176130877.22509366,46409.18702870523,15.145046876658215,2667510.3920009765,88.40907573560051,29.845821223743357,34.165227099617056,-52.42012405896094,103.984030859065,41.497428442043514,3.8665391974060563,37.352413390187515,9046734.613995003,9610368.889519362,3.7549304301734407,,0,1.0,62.35984041757561,4,59.101982526091604
Indonesia,1969,IDN,Asia,Southeast Asia,63770552.54036386,45871.45500193125,34.73996039106359,2215386.46936848,89.80613752228004,30.608596696809144,18.531768775304666,-38.94650299439385,264.046119914394,95.18749147151425,15.373891936554521,9.026156834347065,3458636.0194082344,7417684.693057151,4.907764427254573,0.0,0,0.0,62.428620821737454,2,40.733744470725426
Russia,2003,RUS,Europe,Eastern Europe,20181282.76220521,14830.932894624846,68.88186022836125,1390124.2984552556,85.91701535212772,33.3337318067675,31.63617373018902,-50.88692088908425,299.70836635284826,188.73629702570983,5.575846630241489,21.748565259434724,7659811.949411501,75538.77397079355,4.865300183541112,0.0,0,0.0,75.38197195729344,3,39.8597204147968
Germany,1977,DEU,Europe,Western Europe,265983182.13636035,1180.6782410876344,69.23431407490568,18415163.170671612,68.34525728561793,23.74299536927757,19.07807994755446,-11.166332602449955,219.67521909682165,189.70202056524158,7.975120430976785,33.33126729810715,6557985.03081135,4877970.224891006,2.3380980489989387,1.0,1,1.0,68.56223189610193,3,35.80945912304104
USA,1992,USA,North America,Northern America,261381541.62376913,22238.83618601001,55.439368635209895,14490827.640519597,82.31663039248343,32.7729046389851,29.77675198646373,-44.86628701793225,271.1936191937052,151.90387006047513,14.599499623944894,7.161049660450852,4029943.900850157,9432791.321530009,3.746885857222008,0.0,1,0.0,26.441051719447167,1,38.70373798686385
France,1988,FRA,Europe,Western Europe,292797137.91752285,43137.82173751483,59.54725151380791,17435264.814097837,83.37128794364835,37.74055254599086,50.529820205984976,-71.64166069562418,14.676011833535824,163.15946914783368,11.09597458295872,31.099304615474725,766823.8077159529,7983167.595409995,0.5818703567611754,0.0,0,,84.73442730834053,3,62.9476962373746
USA,1990,USA,North America,Northern America,142727421.71693376,41888.64374567661,67.86609824244752,9686353.224132665,61.99236842562328,38.508770759648094,12.721009332210569,-13.22214851748194,233.8067589628143,185.95310918430621,6.3596449761052325,8.29108606510032,6155412.934163175,2730776.444716927,2.235553229498322,0.0,0,1.0,26.57639897688469,1,68.05860002790197
